air-cooled condenser;n.;null;geothermal energy;heat exchange;condenseur à air;A condenser that rejects heat to the surrounding air.;Carbon Architecture;Based on : How refrigeration works;website, 2013;http://effbox.com/product/how-it-works/;"1. ""In a binary geothermal plant where there is not a sufficient supply of water for an evaporative cooling system, heat must be rejected to atmospheric air. This heat rejection is accomplished through the use of large air-cooled condenser units in which air is forced through several rows of long individually finned tubes by large fans.""

2. ""An air-cooled condenser used for refrigeration and heat pump applications generally consists of plate-fin-tubes.""";"
1.M. S. SOHAL, J. E. O’BRIEN
Date: 2001
http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf
2.Shuangquan SHAO, Xianting LI, Wenxing SHI
";"1.Title: Improving Air-cooled Condenser Performance using Winglets and oval Tubes in a Geothermal Power Plant 

2.Title: A Universal Simulation Model of Air-Cooled Condenser Consisting of Plate-Fin-Tube";"
1. website, 2001

2. website, 2003
";"
1. http://geothermal.inel.gov/publications/articles/sohalgrc90-01paper.pdf                      
2.
http://scitation.aip.org/getabs/servlet/GetabsServlet?prog=normal&id=ASMECP002003036932000729000001&idtype=cvips&gifs=yes&ref=no";An Air Cooled Condenser (ACC) is made of modules arranged in parallel rows. Each module contains a number of fin tube bundles. An axial flow, forced-draft fan located in each module forces the cooling air across the heat exchange area of the fin tubes.;SPX Cooling Technologies ;Air Cooled Condensers - Dry Cooling   ;website, 2012;http://spxcooling.com/en/products/detail/air-cooled-condensers;null;air-cooled condenser system, air-cooled condenser unit;null;null;air condenser, ACC;null;null;condenser;fin and tube condenser, plate condenser;module, fin tube, fan, coil, bundle;heat pump (not systematic), geothermal plant  (not systematic);;;;;;;;
allothermal;adj.;null;biomass;thermodynamics;allothermique;Using heat provided by an outside source.;Centre pour l'énergie atomique;CEA;website, 2007;allothermal_defsource;"""A new reactor concept of allothermal cyclic multi-compartment fluidized bed steam biomass gasification is proposed and analyzed numerically."" ";ILIUTA I., LECLERC A., LARACHI F.;Allothermal steam gasification of biomass in cyclic multi-compartment bubbling fluidized-bed gasifier/combustor - new reactor concept.;Article / study, 2010;http://www.ncbi.nlm.nih.gov/pubmed/20060289;null;null;null;null;null;null;allothermal gasification, allothermal gasifier, allothermal process;null;null;null;allothermally (adv.);null;thermal;null;null;null;;;;;;;;
anaerobic digestion;n.;null;biomass;biochemical conversion;méthanisation;Biological process that occurs when organic matter (in liquid or slurry form) is decomposed by bacteria in the absence of oxygen (i.e., anaerobic).;United States Environment Protection Agency;EPA > Anaerobic digestion;website, 2014;http://www.epa.gov/agstar/anaerobic/ad101/;"""Most anaerobic digestion technologies are commercially available. Where unprocessed wastes cause odor and water pollution such as in large dairies, anaerobic digestion reduces the odor and liquid waste disposal problems and produces a biogas fuel that can be used for process heating and/or electricity generation.""";California Energy Commission;Anaerobic Digestion;website, 2015;http://www.energy.ca.gov/biomass/anaerobic.html;During anaerobic digestion, bacteria break down manure in an oxygen-free environment. One of the natural products of anaerobic digestion is biogas, which typically contains between 60 to 70 percent methane, 30 to 40 percent carbon dioxide, and trace amounts of other gases. Explore this section to learn more about anaerobic digestion systems.;United States Environment Protection Agency;EPA > Anaerobic digestion;website, 2014;http://www.epa.gov/agstar/anaerobic/ad101/;null;"anaerobic digestion of biomass,
anaerobic digestion of organic matter,
anaerobic digestion process,
anaerobic digestion technology,

AD facility,
AD centre,
AD system,

";null;formed by anaerobic digestion, (produced) from anaerobic digestion, anaerobic digestion produces, anaerobic digestion provides, anaerobic digestion is used, anaerobic digestion is utilized;AD (acronym);anaerobic digester (n.);"methanation,
methanization,
methanogenesis (quasi-synonyms)";biological process;null;null;null;;;;;;;;
bagasse;n.;null;biomass;sustainable development;bagasse;Agricultural residue remaining after extracting a sugar-containing juice from plants like sugar cane.;National Renewable Energy Laboratory (NREL);Glossary of Biomass Terms;website, 2014;http://www.nrel.gov/biomass/glossary.html;"""Enzymatic hydrolysis of pretreated sugarcane bagasse was performed to investigate the production of ethanol.""";Maria Carolina de Albuquerque Wanderley, Carlos Martín, George Jackson de Moraes Rocha, Ester Ribeiro Gouveia;Increase in ethanol production from sugarcane bagasse based on combined pretreatments and fed-batch enzymatic hydrolysis;Article /  study;http://www.sciencedirect.com/science/article/pii/S0960852400000456?np=y;Sugar-cane bagasse is a fibrous waste-product of the sugar refining industry, along with ethanol vapour. Part of the great volume of this waste produced is recycled as a raw material for paper manufacture, but the industrial processing required for delignification and bleaching of the resulting paper pulp can be damaging for the environment.;Institut de recherche pour le développement;Developing uses for sugar-cane bagasse: biotechnology applied to the paper industry;website, 2006;https://en.ird.fr/the-media-centre/scientific-newssheets/developing-uses-for-sugar-cane-bagasse-biotechnology-applied-to-the-paper-industry;null;"bagasse(-based) cogeneration,
sugarcane bagasse,
bagasse gasification,
bagasse from sugar cane,
bagasse power plant,

";null;to use bagasse, to process bagasse;null;null;null;agricultural residue;null;"cellulose,
hemicellulose,
lignin,
ash, 
waxes";sugar cane;;;;;;;;
bark;n.;null;biomass;lignocellulosic biomass;écorce;Protective layer of a tree including the inner bark and the outer bark;National Renewable Energy Laboratory (NREL);Exerpt from the definition of bark in the NREL Glossary of Biomass Terms;website, 2014;http://www.nrel.gov/biomass/glossary.html;"""Uncovered storage of biomass will cause waste water emissions due to leaching by rainfall. This effect has to be considered, especially for the storage of bark.""";Sjaak Van Loo,Jaap Koppejan;The Handbook of Biomass Combustion and Co-firing;Monography;http://books.google.fr/books?id=KE565zmFumQC&printsec=frontcover&hl=fr&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false;null;null;null;null;null;null;bark boiler, bark derived phenol, bark residue, bark cell,;"woody biomass bark,
dead bark,
living bark";bark chipping;null;barker (n.), barked (adj.);null;wood;"inner bark,
outer bark";null;tree, trunk;;;;;;;;
biodegradable;adj.;null;biomass;biomass energy;biodégradable;Capable of decomposing rapidly by microorganisms under natural conditions (aerobic and/or anaerobic). ;European Environment Agency;Environmental Terminology and Discovery Service (ETDS);website;http://glossary.eea.europa.eu/terminology/concept_html?term=biodegradable;Currently the main environmental threat from biowaste (and other biodegradable waste) is the production of methane from such waste decomposing in landfills, which accounted for some 3% of total greenhouse gas emissions in the EU-15 in 1995. ;European Commission;Biodegradable Waste;Website;http://ec.europa.eu/environment/waste/compost/index.htm;null;null;null;null;null;null;"biodegradable pollutant,
biodegradable waste,
biodegradable municipal waste, 
biodegradable fraction";null;null;null;"biodegradation (n.),
biodegradability (n.)
";null;degradable;null;null;null;;;;;;;;
organic farming;n.;null;biomass;sustainable development;argiculture biologique;Agricultural system that seeks to provide (…) the consumer with fresh, tasty and authentic food while respecting natural life-cycle systems.;European Commission;Agriculture and rural development;website, 2014;http://ec.europa.eu/agriculture/organic/organic-farming/what-is-organic-farming/index_en.htm;"""The researchers suggest that organic farming can be a very competitive alternative to industrial agriculture when it comes to food production.""";The Independant;Organic farming can feed the world if done right, scientists claim;Article;http://www.independent.co.uk/environment/organic-farming-can-feed-the-world-if-done-right-scientists-claim-9913651.html?origin=internalSearch;Typical organic farming practices include: wide crop rotation as a prerequisite for an efficient use of on-site resources, very strict limits on chemical synthetic pesticide and synthetic fertiliser use, livestock antibiotics, food additives and processing aids and other inputs, absolute prohibition of the use of genetically modified organisms, taking advantage of on-site resources, such as livestock manure for fertiliser or feed produced on the farm, choosing plant and animal species that are resistant to disease and adapted to local conditions, raising livestock in free-range, open-air systems and providing them with organic feed, using animal husbandry practices appropriate to different livestock species;European Commission;Agriculture and rural development;website, 2014;http://ec.europa.eu/agriculture/organic/organic-farming/what-is-organic-farming/index_en.htm;null;null;null;null;null;organic farmer (n.);null;agricultural system;null;null;null;;;;;;;;
"""first generation"" biofuel";n.;null;green chemistry;oil and natural gas;biocarburant de première génération;A fuel that have been derived from cereal crops (e.g. wheat, maize), oil crops (e.g. rape, palm oil) and sugar crops (e.g. sugar beet, sugar cane) using established technology.;European Biofuels Technology Platform;Biofuel production;website, 2014;http://www.biofuelstp.eu/fuelproduction.html#first ;"""The first generation biofuels refer to the fuels that have been derived from sources like starch, sugar, animal fats and vegetable oil. The oil is obtained using the conventional techniques of production.""";Biofuel.org;First generation biofuels;website, 2010;http://biofuel.org.uk/first-generation-biofuels.html;The use of first generation biofuels for transports have increased due to that they are generally compatible with current infrastructure and their production involve established technologies. However, such fuels have received much criticism due to their questionable performance and low energy balance figures. ;Linköping University;Biofuel Synergies;website, 2012;http://www.iei.liu.se/envtech/forskning/forskningsprojekt/synergibiodrivmedel?l=en ;null;integrated 1st-generation biofuels landscape, production of 1st-generation biofuels;"conventional ""first  generation"" biofuel, ""good"" / ""less good"" 1st-generation biofuels ";to grow first-generation biofuels from crops;1st-generation biofuel (orthograph);null;null;fuel;"conventional ""first  generation"" biofuel";cereal crops, oil crops, sugar crops;Biofuel;;;;;;;;
biocrude;n.;null;green chemistry;oil and natural gas;biopétrole;A mixture which consists of various kind of molecules, contains 10-13% oxygen and is upgraded by catalytic hydrodeoxygenation in a central facility.;Ayhan DEMIRBAS;Biofuels: Securing the Planet’s Future Energy Needs;scientific publishing, 2009;http://books.google.fr/books?id=4pp6aFaMPJ4C&pg=PA267&dq=biocrude&lr=&cd=12#v=onepage&q=biocrude&f=false ;"""A number of researchers and companies are developing innovative processes (pyrolysis and thermochemical conversion) to turn a wide range of biomass (forestry residues, crop residues, waste paper and organic waste) into stable, concentrated bio-oil (biocrude) that is compatible with existing refinery technology and can be converted into biofuels.""";European Biofuels Technology Platform;Bio-oil (via pyrolysis / thermochemical conversion) and Tall Oil for production of advanced biofuels;website, 2013;http://www.biofuelstp.eu/bio-oil.html ;Liquefication are generally low (475-675K) reactions, which products liquid products, often called bio-œil or biocrude.;Ayhan DEMIRBAS;Biorefineries: For Biomass Upgrading Facilities;scientific publishing, 2009;https://books.google.fr/books?id=eAvoL178D3cC&pg=PA144&lpg=PA144&dq=biocrude+mixture&source=bl&ots=6E78aE-51T&sig=ZbsoRyChSAw6OV2ugltiKSxzXtk&hl=fr&sa=X&ei=2fcUVaOtLIznauG4gng&ved=0CFUQ6AEwBw#v=onepage&q=biocrude%20mixture&f=false;null;biocrude crop, biocrude feedstocks, biocrude oil (BCO), catalysis of biocrude vapors, cellulosic biocrude refinery, high biocrude contents; extractable biocrude;the biocrude contains;null;null;bio-oil, petrolysis oil, biopetroleum (synonyms);mixture;biocrude oil (BCO);oxygen, molecules;null;;;;;;;;
biodiesel;n.;null;green chemistry;oil and natural gas;biodiésel;Clean burning renewable fuel made through a chemical process which converts oils and fats of natural origin into fatty acid methyl esters (FAME).;Pacific Biodiesel;What is Biodiesel;website, 2015;http://www.biodiesel.com/biodiesel/what-is-biodiesel/;"""The use of biodiesel as a transport fuel does not require any changes in the distribution system, therefore avoiding expensive infrastructure changes. Biodiesel is also used as an efficient heating oil.""";European Biodiesel Board;What Is Biodiesel?;website, 2015;http://www.ebb-eu.org/biodiesel.php ;Various studies have estimated that the use of 1 kg of biodiesel leads to the reduction of some 3 kg of CO2. Hence, the use of biodiesel results in a significant reduction in CO2 emission(65%-90% less than conventional diesel), particulate emissions and other harmful emissions. Biodiesel is extremely low in sulphur, and has a high lubricity and fast biodegradability. These are all advantages which have been confirmed by various EC Commission programmes and tests of independent research institutes.;European Biodiesel Board;Why Use Biodiesel?;website, 2015;http://www.ebb-eu.org/biodiesel.php;null;algae biodiesel,  biodiesel blend, fish oil biodiesel, palm oil biodiesel;pure biodiesel;null;null;Diesel;biogazole (synonym);fuel;algae biodiesel, pure biodiesel, fish oil biodiesel, palm oil biodiesel;oils, fats of natural origin, fatty acid methyl esters;diesel fuel;;;;;;;;
bioethanol;n.;null;green chemistry;oil and natural gas;bioéthanol;Ethanol fermented from glucose from some natural source, giving result to a biofuel.;Oilgae;Glossary > Bioethanol;website, 2013;http://www.oilgae.com/ref/glos/bioethanol.html;"""Bioethanol is a biodegradable, non-toxic and proven alternative to fossil fuel that can be blended for use in any petrol-engine car today without modification.""";Crop Energies ensus;What is Bioethanol?;website ;http://www.ensus.co.uk/Bioethanol/What_is_bioethanol_/;"Bioethanol requires “new” technology:
–To break down (hydrolyze) cellulose and hemicellulose to sugar
– To ferment “unusual” sugars in biomass";National Renewable Energy Laboratory;"Bioethanol: A Renewable
Transportation Fuel
from Biomass";PDF document, 2012;http://www1.eere.energy.gov/bioenergy/pdfs/renewable_fuel.pdf;null;bioethanol cars, bioethanol distilleries, bioethanol for fuel use, 5% of bioethanol included in (ordinary petrol, high percentage bioethanol fuels, sugarcane based bioethanol, sustainability of bioethanol;null;to blend bioethanol with petrol;ethanol fuel (noun), bioethanol fuel (noun);ethanol;null;fuel;sugarcane ethanol, corn ethanol, cellulosic ethanol ;ethanol, glucose;biofuel;;;;;;;;
biofuel;n.;null;green chemistry;oil and natural gas;biocarburant;Liquid or gaseous transport fuels such as biodiesel and bioethanol which are made from biomass.;European Commission;Biofuels;website, 2015;http://ec.europa.eu/energy/en/topics/renewable-energy/biofuels;"""Biofuels are produced from living organisms or from metabolic by-products (organic or food waste products).""";AENews;Biofuels;website, 2015;http://www.alternative-energy-news.info/technology/biofuels/ ;In the process of manufacturing the biofuels, all the fats and oils are turned into esters, separating the glycerin. At the end of the process, all the glycerin sinks down at the bottom and all the biofuel rests at the top. The process through which the glycerin is separated from the biodiesel is known as transesterification. This process also uses lye as a catalyst in the whole process. Some of the chemicals which are used in the manufacturing of biofuels are ethanol or methanol which brings into use methyl esters.;Biofuel.org;How To Make Biofuels;website, 2010;http://biofuel.org.uk/how-to-make-biofuels.html;null;first generation biofuel, second generation biofuel, third generation biofuel, biofuel production;solid biofuel,  cellulosic biofuel, liquid biofuel;null;null;fuel (noun);null;fuel;first generation biofuel, second generation biofuel, third generation biofuel, solid biofuel, cellulosic biofuel, liquid biofuel;organic or food waste products;fuel;;;;;;;;
butanol;n.;null;green chemistry;chemical element;butanol;Primary alcohol with a 4-carbon structure and the molecular formula C4H9OH. ;Royal Society Of Chemistry;1-Butanol;website, 2015;http://www.rsc.org/learn-chemistry/resource/rws00000258/1-butanol;"""Butanol is generally used as an industrial solvent in products such as lacquers and enamels, but it also can be blended with other fuels for use in conventional gasoline vehicles."" ";U.S. Department Of Energy;Biobutanol;website, 2015;http://www.afdc.energy.gov/fuels/emerging_biobutanol.html;"Butanol's isomers include isobutanol, 2-butanol, and tert-butanol. Butanol is one of the group of ""fusel alcohols"" (from the German for ""bad liquor""), which have more than two carbon atoms and have significant solubility in water.";Royal Society Of Chemistry;1-Butanol;website, 2015;http://www.rsc.org/learn-chemistry/resource/rws00000258/1-butanol;Butanol is the  preferred chemical name for n-butyl alcohol. ;butanol fuel, high butanol production, n-Butanol, butanol structure, butanol process, reduction in butanol Inhibition, concentrations of butanol, butanol precipitation,  biofuel butanol, acetone-butanol-ethanol fermentation (ABE fermentation), butanol extraction process;liquid n-butanol, butanol structure,  turned into butanol, water saturated butanol ;to promote butanol as an alternative fuel, to turn biomass into butanol, to provide  butanol from the CO2 ;null;fuel (noun);null;fuel;water saturated butanol, n-butanol, 1-butanol, isobutanol, t-butanol, ter-butanol, 2-butanol;carbon, oxygen, hydrogen;null;;;;;;;;
catalyst;n.;null;green chemistry;organic chemistry;catalyseur;A substance that alters the rate or temperature of a chemical reaction without itself being altered, generally speaking, and of which a relatively small amount is generally required.;ORC International;Catalyst Experts;website, 2015;http://www.intota.com/experts.asp?strSearchType=all&frm=m&strQuery=catalyst ;"""Biodiesel production is widely conducted through transesterification reaction, catalyzed by homogeneous catalysts or heterogeneous catalysts."" ";ScienceDirect;The effects of catalysts in biodiesel production: A review;website, 2013;http://www.sciencedirect.com/science/article/pii/S1226086X1200233X;Most solid catalysts are metals or the oxides, sulfides, and halides of metallic elements and of the semimetallic elements boron, aluminum, and silicon. Gaseous and liquid catalysts are commonly used in their pure form or in combination with suitable carriers or solvents, solid catalysts are commonly dispersed in other substances known as catalyst supports.;Encyclopaedia Britannica;Catalyst;online encyclopedia, 2015;http://global.britannica.com/EBchecked/topic/99128/catalyst;null;acid catalyst, alcohol/catalyst solution, catalyst concentration levels, oxide catalyst, solid acid catalyst    ;heterogeneous catalyst, homogeneous catalyst, nanosphere-based catalyst;the catalyst enhances (the biofuel synthesis process), the catalyst exhibits (acid strength), the catalyst separates (water from organic liquids)  ;null;to catalyze (verb), catalytic (adj.), catalysis (noun);null;substance;acid catalyst,  heterogeneous catalyst, homogeneous catalyst, nanosphere-based catalyst, oxide catalyst, solid acid catalyst;null;null;;;;;;;;
enzyme;n.;null;green chemistry;organic chemistry;enzyme;A protein that catalyzes chemical reactions, primarily in living cells.;ORC International;Enzyme Experts;website, 2015;http://www.intota.com/experts.asp?strSearchType=all&strQuery=enzyme;"""A Y-shaped microfluidic channel is applied for the first time to the construction of a glucose/O2biofuel cell, based on both laminar flow and biological enzyme strategies.""";Electrochemistry communications;A microfluidic glucose biofuel cell to generate micropower from enzymes at ambient temperature;scientific publishing, 2009;http://cat.inist.fr/?aModele=afficheN&cpsidt=21235201;Enzymes that are highly thermostable also tend to last for a long time, even at lower temperatures, and longer-lasting enzymes break down more cellulose, leading to lower cost.;ScienceDirect;New Enzymes Created For Biofuel Production;website, 2009;http://www.sciencedaily.com/releases/2009/03/090323212023.htm ;null;bioconversion enzyme, cathode enzyme, cellulase enzyme, enzyme biofuel;cellular enzyme, cellulolytic enzyme, microfluidic enzyme, stabilized enzyme;null;null;enzymatic (adj.), catalyst (noun);null;protein;bioconversion enzyme, cathode enzyme, cellular enzyme, cellulase enzyme,  cellulolytic enzyme, enzyme biofuel, microfluidic enzyme, stabilized enzyme;null;null;;;;;;;;
ester;n.;null;green chemistry;organic chemistry;ester;Any of a class of organic compounds that react with water to produce alcohols and organic or inorganic acids. ;Encyclopaedia Britannica;Ester;online encyclopedia, 2015;http://global.britannica.com/EBchecked/topic/193393/ester;"""Chemically, biodiesel is called a methyl ester if the alcohol used is methanol. If ethanol is used, it is called an ethyl ester.""";Biodiesel Magazine;Oxidation Stability in Biodiesel: A Brief Review of Current Technology;website, 2009;http://www.biodieselmagazine.com/articles/3541/oxidation-stability-in-biodiesel-a-brief-review-of-current-technology/;Esters derived from carboxylic acids are the most common. Carboxylic acid esters, formula RCOOR? (R and R? are any organic combining groups), are commonly prepared by reaction of carboxylic acids and alcohols in the presence of hydrochloric acid or sulfuric acid, a process called esterification. In the reaction the hydroxyl group (OH) of the carboxylic acid is replaced by the alkoxy group (R?O) of the alcohol.;Encyclopaedia Britannica;Ester;online encyclopedia, 2015;http://global.britannica.com/EBchecked/topic/193393/ester;null;methyl ester, purification of an ester, synthesis of an ester, the chemical structure of an ester, an ester bond, an ester hydrolysis, the saponification of an ester, ester linkage, reaction of an ester with sth, ester pyrolysis , ether ester;acid ester, synthetic ester, a hydrolytically stable ester, estolide ester;to form an ester, to convert into ester, to split ester (into acid);null;esterification (noun), to esterify (verb), to transesterify (verb), transesterification (noun), polyester (noun), interesterification (noun);null;"organic compound 
";methyl ester, sugar ester, ethyl ester, fatty acid ester, acrylic acid ester, methacrylic acid ester, glycerol ester, ether ester;null;null;;;;;;;;
ETBE;n.;null;green chemistry;chemistry;ETBE;"A fuel derived from ethanol that offers advantages in terms of lower volatility and blending.
";Global Ethanol;Common Ethanol Terminology;website;www.globalethanolservices.com/Ethanol_Terminology.html ;"""Because ETBE contains raw material made from renewable resources, it generates lower CO2 emissions than MTBE. Each ton of ETBE produced prevents 783 kg in CO2 emissions, which helps mitigate climate change.""";Braskem;Renewable rax materials > Ethyl tertiary-butyl ether (ETBE);website, 2015;http://www.braskem.com/site.aspx/Ethyl-Tertiary-Butyl-Ether;Ethyl Tertiary Butyl Ether or ETBE is an oxygenated fuel that can be blended with gasoline to make it burn more cleanly and thus improve overall air quality. ETBE is produced by mixing ethanol and isobutylene and reacting them with heat over a catalyst. ETBE, because of its ethanol base, has good blending properties for both octane improvement and motor fuel volatility control.;ICIS;Ethyl Tertiary Butyl Ether;website, 2013;http://www.icis.com/StaticPages/Ethyl_Tertiary_Butyl_Ether.htm ;null;ETBE synthesis from ethanol, oxidation of ETBE with oxygen, production of ETBE, volatilization rate of ETBE;null;ethanol is processed into ETBE, fuel blended with ETBE, to form ETBE, to optimize the ETBE selectivity;Ethyl tertiary butyl ether, 2-methyl-2-ethoxypropane, tert-butyl ethyl ether (orthograph);null;null;fuel;null;null;null;;;;;;;;
ethanol;n.;null;green chemistry;organic chemistry;ethanol;A two-carbon alcohol produced by fermenting and distilling grains such as corn, barley and wheat.;ORC International;Ethanol Experts;website, 2015;http://www.intota.com/experts.asp?strSearchType=all&frm=m&strQuery=ethanol;"""Ethanol is a renewable fuel made from corn and other plant materials. The use of ethanol is widespread—almost all gasoline in the U.S. contains some ethanol. Ethanol is available as E85—a high-level ethanol blend containing 51%-83% ethanol depending on season and geography—for use in flexible fuel vehicles. "" ";U.S. Department Of Energy;Alternative Fuels Data Center > Ethanol;website, 2014;http://www.afdc.energy.gov/fuels/ethanol.html;null;null;null;null;null;null;dehydration of ethanol, conversion of ethanol, selective oxidation of ethanol;cellulosic ethanol, liquid ethanol;null;null;ethanol fuel (noun);null;alcohol;cellulosic ethanol;grains;null;;;;;;;;
GTL;n.;null;green chemistry;refinery;GTL;A process that converts natural gas to liquid fuels such as gasoline, jet fuel, and diesel. ;U.S. Energy Information Administration;Gas-to-liquids plants face challenges in the U.S. market;website, 2014;http://www.eia.gov/todayinenergy/detail.cfm?id=15071;"""The GTL process utilizes the Fischer Tropsch process to convert gas to liquid fuels, a technology dating back to the 1920s and utilized by both Germany in World War II and South Africa during its isolated apartheid era.""";Forbes;Small Gas-To-Liquids Plants Get A Huge Boost;website, 2014;http://www.forbes.com/sites/peterdetwiler/2014/03/28/small-gas-to-liquids-plants-get-a-huge-boost/;null;null;null;null;null;null;low GTL mass transfer, GTL kerosene fuel, GTL plant, natural GTL hydrocarbons, GTL conversion process, synthetic mix of GTL;null;null;Gas to Liquid (orthograph);null;null;refinery process;null;natural gas;liquid fuels;;;;;;;;
hydrolysis;n.;null;green chemistry;organic chemistry;hydrolyse;A chemical reaction in which a compound is decomposed or split by reacting it with water.;ORC International;Hydrolisis Experts;website, 2015;http://www.intota.com/experts.asp?strSearchType=all&strQuery=hydrolysis;"""Hydrolysis is a reaction involving the breaking of a bond in a molecule using water. The reaction mainly occurs between an ion and water molecules and often changes the pH of a solution.""";UC Davis - ChemWiki;Hydrolysis;website;http://chemwiki.ucdavis.edu/Physical_Chemistry/Equilibria/Solubilty/Hydrolysis;The most common hydrolysis occurs when a salt of a weak acid or weak base (or both) is dissolved in water.;Chemistry Explained;Hydrolysis;website, 2015;http://www.chemistryexplained.com/Hy-Kr/Hydrolysis.html;null;hydrolysis constant, hydrolysis product, hydrolysis lignin, hydrolysis of cellulose, enzymatic hydrolysis reaction, enzymatic hydrolysis inhibitor, hydrolysis-fermentation of lignocellulosic materials;continuous thermal hydrolysis, acid hydrolysis;hydrolysis releases fermentable sugars;null;to hydrolise (verb), to hydrolize (verb), hydrolyzable (adj.), hydrolysate (noun);electrolysis (quasi-synonym);chemical reaction;continuous thermal hydrolysis, enzymatic hydrolysis, acid hydrolysis ;water;null;;;;;;;;
methanol;n.;null;green chemistry;environment;méthanol;A colorless, toxic, flammable alcohol derived from coal  used as an antifreeze, a general solvent, a fuel, and a denaturant for ethyl alcohol.;ORC International;Methanol Experts;website, 2015;http://www.intota.com/experts.asp?strSearchType=all&frm=m&strQuery=methanol;"""Methanol is a nondrinking type of alcohol used for industrial and automotive purposes.""";Medline Plus;Methanol Poisoning;website, 2015;http://www.nlm.nih.gov/medlineplus/ency/article/002680.htm;null;null;null;null;null;null;the use of methanol, the methanol industry, concentrations of methanol, a metabolite of methanol, a direct methanol fuel cell system, methanol production plants, methanol injection, methanol based heat-transfer fluids, direct methane to methanol conversion, methanol poisoning, the combustion of methanol, catalytic formation of methanol, high pressure combustion of methanol droplets, bio-methanol, methanol recovery processors, biocatalyzed oxidation of methanol to C02;renewable methanol, unblended methanol;methanol can be used as, to manufacture methanol, the methanol is metabolised to, grow on methanol as, to generate electricity with methanol, can be converted into methanol, methanol can cause, by producing electricity from methanol;null;methane (noun), methanolysis (noun), to methanolyse (verb);carbinol, colonial spirit, columbian spirits, methyl alcohol, methyl hydroxide, pyroxylic spirit, wood alcohol, wood naphtha, wood spirit, methyl alcohol (synonyms);alcohol;bio-methanol, renewable methanol, unblended methanol,;null;null;;;;;;;;
MTBE;n.;null;green chemistry;environment;MTBE;"A colorless and flammable ether composed of methylpropane and a methoxy group used as gasoline octane booster and in isobutene manufacture.

";ORC International;Methyl-Tert-Butyl Ether Experts;website, 2015;http://www.intota.com/experts.asp?strSearchType=all&strQuery=methyl%2Dtert%2Dbutyl+ether;"""MTBE (methyl tertiary-butyl ether) is a chemical compound that is manufactured by the chemical reaction of methanol and isobutylene. MTBE is produced in very large quantities (over 200,000 barrels per day in the U.S. in 1999) and is almost exclusively used as a fuel additive in motor gasoline. It is one of a group of chemicals commonly known as ""oxygenates"" because they raise the oxygen content of gasoline. At room temperature, MTBE is a volatile, flammable and colorless liquid that dissolves rather easily in water.""";U.S. Environmental Protection Agency;Methyl Tertiary Butyl Ether (MTBE);website, 2013;http://www.epa.gov/mtbe/gas.htm;"MTBE was first first used in the late 1970s as an automobile additive for premium-grade fuels to increase octave rattings.
MTBE is more likely to contaminate ground water than other components of gasoline due to its resistance to microbial decomposition and mobility in water.
";McGraw Hill Professional;Land Development Handbook;publishing, 2008;http://books.google.fr/books?id=p3U5CzafSa8C&pg=PT1053&dq=MTBE&lr=lang_en&as_brr=3&ei=SMpUS9jZIKrSyQTg9fzxDg&cd=17#v=onepage&q=MTBE&f=false;null;effective alternative to MTBE, MTBE levels of , MTBE contamination of, MTBE production,  effects of MTBE in drinking water supplies, quantities of MTBE,  gasoline additive MTBE, MTBE concentrations,  gasoline oxygenated with MTBE, the addition of MTBE to,  transport of MTBE, bio-MTBE,  fuel additive MTBE, MTBE component, MTBE decomposition;the MTBE contained in, chemical MTBE, compatible with methanol;to remove MTBE from, the MTBE is made primarily from,  caused by MTBE, to estimate MTBE cleanup costs, MTBE has been detected in, MTBE can contaminate, transport of MTBE, to biodegrade MTBE;2-methoxy-2-methylpropane, methyl-tert-butyl aether, methyl-tert-butyl ether, methyl tertiary-butyl ether (orthograph);null;null;ether;bio-MTBE,  fuel additive MTBE,  gasoline additive MTBE, chemical MTBE;null;null;;;;;;;;
